symbol,security,country,gics_sector,gics_sub_industry
AE,Adams Resources & Energy,United States,Energy,Oil Refining/Marketing
AEAE,AltEnergy Acquisition Corp.,United States,Finance,Blank Checks
AEE,Ameren Corporation,United States,Utilities,Power Generation
AEF,abrdn Emerging Markets Equityome Fund,United States,Finance,Finance/Investors Services
AEG,AEGON N.V.,Netherlands,Finance,Life Insurance
AEHR,Aehr Test Systems,United States,Industrials,Electrical Products
AEIS,Advanced Energy Industries,United States,Technology,Industrial Machinery/Components
AEL,American Equity Investment Life Holding Company,United States,Finance,Life Insurance
AEM,Agnico Eagle Mines Limited,Canada,Basic Materials,Precious Metals
AEMD,Aethlon Medical,United States,Miscellaneous,Diversified Commercial Services
AENT,Alliance Entertainment Holding Corporation,United States,Consumer Discretionary,Durable Goods
AEO,American Eagle Outfitters,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores
AEON,AEON Biopharma,,Health Care,Biotechnology: Pharmaceutical Preparations
AEP,American Electric Power Company,United States,Utilities,Electric Utilities: Central
AES,The AES Corporation,United States,Utilities,Electric Utilities: Central
AESI,Atlas Energy Solutions,,Industrials,Metal Fabrications
AEVA,Aeva Technologies,,Consumer Discretionary,Auto Parts:O.E.M.
AEY,ADDvantage Technologies Group,United States,Industrials,Office Equipment/Supplies/Services
AEYE,AudioEye,United States,Technology,EDP Services
AEZS,Aeterna Zentaris,Canada,Health Care,Biotechnology: Pharmaceutical Preparations
AFCG,AFC Gamma,United States,Real Estate,Real Estate Investment Trusts
AFG,American Financial Group,United States,Finance,Property-Casualty Insurers
AFIB,Acutus Medical,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AFL,AFLACorporated,United States,Finance,Accident &Health Insurance
AFRM,Affirm Holdings,United States,Consumer Discretionary,Business Services
AFT,Apollo Senior Floating Rate Fund,,Finance,Investment Managers
AGAE,Allied Gaming & Entertainment,United States,Telecommunications,Cable & Other Pay Television Services
AGCO,AGCO Corporation,United States,Industrials,Industrial Machinery/Components
AGE,AgeX Therapeutics,,Health Care,Biotechnology: Pharmaceutical Preparations
AGEN,Agenus,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGFY,Agrify Corporation,United States,Consumer Discretionary,Military/Government/Technical
AGIL,AgileThought,United States,Consumer Discretionary,Professional Services
AGIO,Agios Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AGL,agilon health inc.,United States,Health Care,Managed Health Care
AGLE,Aeglea BioTherapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AGM,Federal Agricultural Mortgage Corporation,United States,Finance,Finance Companies
AGNC,AGNC Investment Corp.,United States,Real Estate,Real Estate Investment Trusts
AGO,Assured Guaranty Ltd.,Bermuda,Finance,Property-Casualty Insurers
AGR,Avangrid,United States,Utilities,Electric Utilities: Central
AGRX,Agile Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AGS,PlayAGS,United States,Consumer Discretionary,Miscellaneous manufacturing industries
AGTI,Agiliti,United States,Health Care,Managed Health Care
AGX,Argan,United States,Consumer Discretionary,Engineering & Construction
AHCO,AdaptHealth Corp.,United States,Health Care,Medical/Nursing Services
AHH,Armada Hoffler Properties,United States,Finance,Real Estate
AHT,Ashford Hospitality Trust,United States,Real Estate,Real Estate Investment Trusts
AI,C3.ai,United States,Technology,Computer Software: Prepackaged Software
AIF,Apollo Tacticalome Fund,,Finance,Finance Companies
AIG,American International Group New,United States,Finance,Life Insurance
AIHS,Senmiao Technology Limited,China,Finance,Finance: Consumer Services
AIM,AIM ImmunoTech,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AIMD,Ainos,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AIN,Albany International Corporation,United States,Consumer Discretionary,Textiles
AINC,Ashford (Holding Company),United States,Consumer Discretionary,Professional Services
AIP,Arteris,United States,Technology,Semiconductors
AIR,AAR Corp.,United States,Industrials,Aerospace
AIRC,Apartmentome REIT Corp.,United States,Real Estate,Real Estate Investment Trusts
AIRG,Airgain,United States,Technology,Radio And Television Broadcasting And Communications Equipment
AIRI,Air Industries Group,United States,Industrials,Military/Government/Technical
AIRS,AirSculpt Technologies,United States,Health Care,Medical/Nursing Services
AIRT,Air T,United States,Consumer Discretionary,Air Freight/Delivery Services
AIT,Applied Industrial Technologies,United States,Consumer Discretionary,Industrial Specialties
AIV,Apartment Investment and Management Company,United States,Real Estate,Real Estate Investment Trusts
AIZ,Assurant,United States,Finance,Property-Casualty Insurers
AJG,Arthur J. Gallagher & Co.,United States,Finance,Specialty Insurers
AJRD,Aerojet Rocketdyne Holdings,United States,Industrials,Military/Government/Technical
AJX,Great Ajax Corp.,United States,Real Estate,Real Estate Investment Trusts
AKA,a.k.a. Brands Holding Corp.,,Consumer Discretionary,Catalog/Specialty Distribution
AKAM,Akamai Technologies,United States,Consumer Discretionary,Business Services
AKBA,Akebia Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AKLI,Akili,United States,Technology,Computer Software: Prepackaged Software
AKR,Acadia Realty Trust,United States,Real Estate,Real Estate Investment Trusts
AKRO,Akero Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AKTS,Akoustis Technologies,United States,Utilities,Telecommunications Equipment
AKYA,Akoya BioSciences,United States,Industrials,Medical Specialities
AL,Air Lease Corporation,United States,Consumer Discretionary,Diversified Commercial Services
ALB,Albemarle Corporation,United States,Industrials,Major Chemicals
ALBT,Avalon GloboCare Corp.,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALCC,AltC Acquisition Corp.,,Finance,Blank Checks
ALCO,Alico,United States,,
ALDX,Aldeyra Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALEC,Alector,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALG,Alamo Group,United States,Industrials,Industrial Machinery/Components
ALGM,Allegro MicroSystems,United States,Technology,Semiconductors
ALGN,Align Technology,United States,Health Care,Industrial Specialties
ALGS,Aligos Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALGT,Allegiant Travel Company,United States,Consumer Discretionary,Air Freight/Delivery Services
ALHC,Alignment Healthcare,United States,Health Care,Medical Specialities
ALIM,Alimera Sciences,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALIT,Alight,United States,Consumer Discretionary,Business Services
ALK,Alaska Air Group,United States,Consumer Discretionary,Air Freight/Delivery Services
ALKT,Alkami Technology,United States,Technology,EDP Services
ALL,Allstate Corporation (The),United States,Finance,Property-Casualty Insurers
ALLE,Allegion,United States,Industrials,Building Products
ALLK,Allakos,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALLO,Allogene Therapeutics,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALLR,Allarity Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALLY,Ally Financial,United States,Finance,Major Banks
ALNY,Alnylam Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALOT,AstroNova,United States,Technology,Computer peripheral equipment
ALPN,Alpine Immune Sciences,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALPP,Alpine 4 Holdings,United States,Telecommunications,Telecommunications Equipment
ALRM,Alarm.com Holdings,United States,Technology,Computer Software: Prepackaged Software
ALRN,Aileron Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALRS,Alerus Financial Corporation,United States,Finance,Major Banks
ALSN,Allison Transmission Holdings,United States,Consumer Discretionary,Auto Parts:O.E.M.
ALT,Altimmune,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALTG,Alta Equipment Group,United States,Industrials,Industrial Machinery/Components
ALTI,AlTi Global,United States,Finance,Investment Managers
ALTO,Alto Ingredients,United States,Industrials,Major Chemicals
ALTR,Altair Engineering,United States,Technology,Computer Software: Prepackaged Software
ALTU,Altitude Acquisition Corp.,United States,Finance,Blank Checks
ALV,Autoliv,Sweden,Consumer Discretionary,Auto Parts:O.E.M.
ALVR,AlloVir,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALX,Alexander's,United States,Real Estate,Real Estate Investment Trusts
ALXO,ALX Oncology Holdings,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALZN,Alzamend Neuro,United States,Health Care, Medicinal Chemicals and Botanical Products 
AM,Antero Midstream Corporation,United States,Utilities,Natural Gas Distribution
AMAO,American Acquisition Opportunity,United States,Miscellaneous,Multi-Sector Companies
AMAT,Applied Materials,United States,Technology,Industrial Machinery/Components
AMBC,Ambac Financial Group,United States,Finance,Property-Casualty Insurers
AMC,AMC Entertainment Holdings,United States,Consumer Discretionary,Movies/Entertainment
AMCR,Amcor,United States,Materials,Paper & Plastic Packaging Products & Materials
AMCX,AMC Networks,United States,Telecommunications,Cable & Other Pay Television Services
AMD,Advanced Micro Devices,United States,Technology,Semiconductors
AME,Ametek,United States,Industrials,Electrical Components & Equipment
AMED,Amedisys,United States,Health Care,Medical/Nursing Services
AMEH,Apollo Medical Holdings,United States,Consumer Discretionary,Professional Services
AMG,Affiliated Managers Group,United States,Finance,Investment Managers
AMGN,Amgen,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMK,AssetMark Financial Holdings,United States,Finance,Investment Managers
AMKR,Amkor Technology,United States,Technology,Semiconductors
AMLI,American Lithium Corp.,Canada,Basic Materials,Metal Mining
AMLX,Amylyx Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AMNB,American National Bankshares,United States,Finance,Major Banks
AMP,Ameriprise Financial,United States,Finance,Investment Managers
AMPG,Amplitech Group,United States,Technology,Industrial Machinery/Components
AMPH,Amphastar Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AMPL,Amplitude,United States,Technology,EDP Services
AMPS,Altus Power,,Utilities,Electric Utilities: Central
AMPX,Amprius Technologies,United States,Miscellaneous,Industrial Machinery/Components
AMPY,Amplify Energy Corp.,United States,Energy,Oil & Gas Production
AMR,Alpha Metallurgical Resources,United States,Energy,Coal Mining
AMRC,Ameresco,United States,Consumer Discretionary,Engineering & Construction
