symbol,security,country,gics_sector,gics_sub_industry,categories
CNK,Cinemark Holdings Cinemark Holdings,United States,Consumer Discretionary,Movies/Entertainment,
CNM,Core & Main,United States,Consumer Discretionary,Durable Goods,
CNMD,CONMED Corporation,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,
CNNE,Cannae Holdings,United States,Consumer Discretionary,Restaurants,
CNO,CNO Financial Group,United States,Finance,Life Insurance,"[""Companies listed on the New York Stock Exchange"", ""Companies based in Indianapolis"", ""Companies that filed for Chapter 11 bankruptcy in 2002"", ""Carmel, Indiana"", ""Financial services companies established in 1979"", ""Insurance companies of the United States"", ""1979 establishments in Indiana""]"
CNOB,ConnectOne Bancorp,United States,Finance,Major Banks,
CNP,CenterPoint Energy (Holding Co),United States,Utilities,Electric Utilities: Central,
CNQ,Canadian Natural Resources Limited,Canada,,,"[""Oil companies of Canada"", ""Natural gas companies of Canada"", ""Companies based in Calgary"", ""Energy companies established in 1973"", ""Non-renewable resource companies established in 1973"", ""Natural resources organizations"", ""Companies listed on the Toronto Stock Exchange"", ""S&P/TSX 60""]"
CNS,Cohen & Steers,United States,Finance,Investment Managers,
CNSL,Consolidated Communications Holdings,United States,Telecommunications,Telecommunications Equipment,
CNSP,CNS Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
CNTX,Context Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
CNTY,Century Casinos,United States,Consumer Discretionary,Hotels/Resorts,"[""Gambling companies of the United States"", ""Companies based in Colorado Springs, Colorado"", ""Gambling companies established in 1992"", ""Companies listed on the Nasdaq"", ""1992 establishments in Colorado""]"
CNVS,Cineverse Corp.,United States,Consumer Discretionary,Consumer Electronics/Video Chains,"[""Cineverse| "", ""2000 establishments in California"", ""American companies established in 2000"", ""Entertainment companies established in 2000"", ""Mass media companies established in 2000"", ""Digital media organizations"", ""Entertainment companies based in California"", ""Companies listed on the Nasdaq"", ""Companies based in Los Angeles"", ""Film distributors of the United States"", ""Home video companies of the United States"", ""Mass media companies of the United States""]"
CNX,CNX Resources Corporation,United States,Energy,Oil & Gas Production,"[""Natural gas companies of the United States"", ""Companies based in Pittsburgh"", ""Companies listed on the New York Stock Exchange"", ""Non-renewable resource companies established in 1860"", ""Oil and Natural Gas Corporation| ""]"
CNXA,Connexa Sports Technologies,United States,Consumer Discretionary,Recreational Games/Products/Toys,
CNXC,Concentrix Corporation,United States,Technology,Computer Software: Prepackaged Software,"[""Business services companies of the United States"", ""Companies based in Fremont, California"", ""Business services companies established in 1983"", ""1983 establishments in California"", ""Companies listed on the Nasdaq"", ""Corporate spin-offs""]"
CNXN,PC Connection,United States,Consumer Discretionary,Catalog/Specialty Distribution,"[""Technology companies established in 1982"", ""Companies based in Merrimack, New Hampshire"", ""Companies listed on the Nasdaq"", ""1982 establishments in New Hampshire""]"
COCO,The Vita Coco Company,United States,Consumer Staples,Beverages (Production/Distribution),
COCP,Cocrystal Pharma,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
CODX,Co-Diagnostics,United States,Health Care,Medical/Dental Instruments,
COEP,Coeptis Therapeutics Holdings,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
COF,Capital One Financial Corporation,United States,Finance,Major Banks,"[""Capital One| "", ""Banks based in Virginia"", ""American companies established in 1994"", ""Banks established in 1994"", ""1994 establishments in Virginia"", ""Companies based in McLean, Virginia"", ""Companies based in Richmond, Virginia"", ""Companies listed on the New York Stock Exchange"", ""Corporate spin-offs"", ""1994 initial public offerings""]"
COFS,ChoiceOne Financial Services,United States,Finance,Major Banks,
COGT,Cogent Biosciences,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
COHR,Coherent Corp.,United States,Technology,Electronic Components,"[""Semiconductor companies of the United States"", ""Manufacturing companies based in Pennsylvania"", ""Electronics companies established in 1971"", ""American companies established in 1971"", ""Companies formerly listed on the Nasdaq"", ""Companies listed on the New York Stock Exchange"", ""1980s initial public offerings""]"
COHU,Cohu,United States,Industrials,Electrical Products,
COIN,Coinbase Global,United States,Finance,Finance: Consumer Services,"[""Bitcoin exchanges"", ""Y Combinator companies"", ""American companies established in 2012"", ""Bitcoin companies"", ""Digital currency exchanges"", ""Companies listed on the Nasdaq"", ""Direct stock offerings""]"
COKE,Coca-Cola Consolidated,United States,Consumer Staples,Beverages (Production/Distribution),"[""Coca-Cola bottlers"", ""Companies based in Charlotte, North Carolina"", ""Companies based in Greensboro, North Carolina"", ""American companies established in 1902"", ""Food and drink companies established in 1902"", ""Companies listed on the Nasdaq"", ""Drink companies of the United States""]"
COLB,Columbia Banking System,United States,Finance,Major Banks,"[""Companies based in Portland, Oregon"", ""American companies established in 1953"", ""Banks established in 1953"", ""Banks based in Oregon"", ""Companies formerly listed on the Nasdaq"", ""1953 establishments in Oregon"", ""2023 mergers and acquisitions""]"
COLD,Americold Realty Trust,United States,Real Estate,Real Estate Investment Trusts,"[""Companies with year of establishment missing"", ""Companies listed on the New York Stock Exchange"", ""Transportation companies of the United States"", ""Companies based in Atlanta"", ""Warehouses in the United States"", ""Transportation companies based in Georgia (U.S. state)""]"
COLL,Collegium Pharmaceutical,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
COLM,Columbia Sportswear Company,United States,Consumer Discretionary,Apparel,"[""1938 establishments in Oregon"", ""1998 initial public offerings"", ""American companies established in 1938"", ""Camping equipment manufacturers"", ""Cedar Mill, Oregon"", ""Clothing brands of the United States"", ""Clothing companies established in 1938"", ""Companies based in Washington County, Oregon"", ""Companies listed on the Nasdaq"", ""Eyewear brands of the United States"", ""Manufacturing companies based in Oregon"", ""Climbing and mountaineering equipment companies"", ""Outdoor clothing brands"", ""Shoe brands"", ""Sporting goods retailers of the United States"", ""Sportswear brands"", ""Family-owned companies of the United States""]"
COMM,CommScope Holding Company,United States,Technology,Radio And Television Broadcasting And Communications Equipment,"[""Telecommunications companies of the United States"", ""Telecommunications companies established in 1976"", ""Telecommunications equipment vendors"", ""Computer companies of the United States"", ""Electronics companies established in 1976"", ""American companies established in 1976"", ""Manufacturing companies based in North Carolina"", ""Companies listed on the Nasdaq"", ""1976 establishments in North Carolina"", ""2013 initial public offerings"", ""Hickory, North Carolina"", ""Corporate spin-offs""]"
COMP,Compass,United States,Technology,EDP Services,"[""Compass Group| "", ""British companies established in 1941"", ""Catering and food service companies of the United Kingdom"", ""Companies based in Charlotte, North Carolina"", ""Companies based in Surrey"", ""Business services companies established in 1941"", ""Companies listed on the London Stock Exchange"", ""Corporate crime"", ""History of the United Nations"", ""Food and drink companies established in 1941"", ""Multinational companies headquartered in the United Kingdom"", ""1941 establishments in England"", ""Private providers of NHS services""]"
COMS,COMSovereign Holding Corp.,United States,Consumer Discretionary,Telecommunications Equipment,
CONN,Conn's,United States,Consumer Discretionary,Consumer Electronics/Video Chains,"[""Consumer electronics retailers in the United States"", ""Online retailers of the United States"", ""Companies based in The Woodlands, Texas"", ""Retail companies established in 1890"", ""Companies listed on the Nasdaq"", ""1890 establishments in Texas"", ""2003 initial public offerings""]"
CONX,CONX Corp.,United States,Finance,Blank Checks,
